Name,Manufacturer,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price
Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,Ahmedabad,2013,55000,Diesel,Manual,First,1199,73.9,5,22.07,4.25
Maruti Alto 800 LXI,Maruti,Hyderabad,2014,58500,Petrol,Manual,First,796,47.3,5,22.74,2.75
Hyundai i20 Asta Option 1.2,Hyundai,Kochi,2017,58620,Petrol,Manual,First,1197,81.83,5,18.6,7.14
Toyota Etios Liva G,Toyota,Mumbai,2012,29605,Petrol,Manual,First,1197,74,5,18.3,2.44
Hyundai i20 1.2 Sportz,Hyundai,Jaipur,2012,71172,Petrol,Manual,Third,1197,80,5,17,3.5
Hyundai i20 1.4 Asta,Hyundai,Chennai,2017,12000,Diesel,Manual,First,1396,88.73,5,22.54,7.3
Maruti Wagon R LXI Optional,Maruti,Kolkata,2014,25000,Petrol,Manual,First,998,67.04,5,20.51,2.75
Hyundai i20 1.4 Asta Option,Hyundai,Bangalore,2017,43000,Diesel,Manual,Second,1396,88.73,5,22.54,8.2
Volkswagen Polo GT TSI,Volkswagen,Mumbai,2015,57022,Petrol,Automatic,First,1197,103.6,5,17.21,6.51
Ford Figo Diesel Titanium,Ford,Pune,2015,92000,Diesel,Manual,First,1399,68.05,5,20,4.25
Maruti Swift ZXI,Maruti,Coimbatore,2014,33372,Petrol,Manual,Second,1197,85.8,5,18.6,6.21
Hyundai Grand i10 CRDi Magna,Hyundai,Kochi,2016,52625,Diesel,Manual,First,1120,70,5,24,4.58
Mahindra Xylo H4,Mahindra,Chennai,2016,215000,Diesel,Manual,First,2179,118.3,7,14.02,7.5
Maruti Alto Green LXi (CNG),Maruti,Delhi,2012,65537,CNG,Manual,First,796,38.4,5,26.83,2.1
Hyundai i10 Magna 1.1,Hyundai,Coimbatore,2014,60138,Petrol,Manual,First,1086,68.05,5,19.81,4.09
Skoda Octavia Elegance 2.0 TDI AT,Skoda,Mumbai,2014,84000,Diesel,Automatic,First,1968,141,5,19.3,10.75
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,BMW,Mumbai,2014,47000,Diesel,Automatic,First,2993,258,7,15.97,41.5
Maruti Celerio VXI AT,Maruti,Hyderabad,2014,33450,Petrol,Automatic,First,998,67.04,5,23.1,4.4
Volkswagen Vento Diesel Comfortline,Volkswagen,Jaipur,2013,125000,Diesel,Manual,Second,1598,103.6,5,20.54,6.25
BMW 3 Series 320d Highline,BMW,Pune,2011,99606,Diesel,Automatic,Second,1995,181,5,16.07,10.5
Maruti Ertiga ZDI,Maruti,Mumbai,2014,64000,Diesel,Manual,First,1248,88.8,7,20.77,7.25
Ford Figo Diesel ZXI,Ford,Hyderabad,2013,51000,Diesel,Manual,First,1399,68.05,5,20,3.2
Volkswagen Polo 1.2 MPI Highline,Volkswagen,Mumbai,2014,57000,Petrol,Manual,First,1198,74,5,16.47,3.95
Audi A6 3.0 TDI quattro,Audi,Coimbatore,2009,48040,Diesel,Automatic,Second,2967,241.38,5,16.77,12.07
Toyota Innova Crysta 2.4 ZX MT,Toyota,Pune,2017,43200,Diesel,Manual,First,2393,147.8,7,13.68,18.6
Hyundai Verna 1.6 CRDi EX AT,Hyundai,Delhi,2013,66000,Diesel,Automatic,First,1582,126.3,5,22.32,5.7
Hyundai Santro Xing GL Plus,Hyundai,Kolkata,2013,31000,Petrol,Manual,First,1086,62.1,5,17.92,1.75
Audi A4 2.0 TDI,Audi,Delhi,2011,46000,Diesel,Automatic,Second,1968,147.51,5,16.55,10.99
Audi A4 2.0 TDI,Audi,Kolkata,2012,47346,Diesel,Automatic,First,1968,147.51,5,16.55,14.5
Skoda Laura 1.9 TDI MT Ambiente,Skoda,Jaipur,2009,100000,Diesel,Manual,First,1896,105,5,17,3.11
Honda CR-V 2.0L 2WD AT,Honda,Coimbatore,2015,63856,Petrol,Automatic,First,1997,153.86,5,13.7,13.96
Hyundai Verna 1.6 SX CRDi (O),Hyundai,Coimbatore,2015,72996,Diesel,Manual,First,1582,126.32,5,22.32,7.11
Honda Mobilio RS i DTEC,Honda,Chennai,2014,23000,Diesel,Manual,First,1498,98.6,7,24.5,6.9
Hyundai i20 1.2 Asta Option,Hyundai,Coimbatore,2018,15985,Petrol,Manual,First,1197,81.83,5,18.6,7.77
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Kolkata,2011,98000,Diesel,Manual,Second,2494,102,8,12.8,5.5
Hyundai i20 Magna 1.2,Hyundai,Hyderabad,2014,70089,Petrol,Manual,First,1197,81.83,5,18.6,5.35
Mahindra Bolero VLX BS IV,Mahindra,Chennai,2011,99000,Diesel,Manual,Second,2523,63,7,13.6,4.5
Volkswagen Vento 1.5 TDI Comfortline,Volkswagen,Jaipur,2014,72000,Diesel,Manual,First,1498,103.2,5,20.34,4.75
Jaguar XF 2.2 Litre Luxury,Jaguar,Coimbatore,2015,44194,Diesel,Automatic,First,2179,187.7,5,16.36,32.8
Maruti Zen LXi - BS III,Maruti,Mumbai,2005,102000,Petrol,Manual,First,993,60,5,17.3,0.7
Mercedes-Benz E-Class Facelift,MercedesBenz,Coimbatore,2018,56652,Diesel,Automatic,First,2987,258,5,13,50.29
Toyota Fortuner 3.0 Diesel,Toyota,Mumbai,2010,41650,Diesel,Manual,Second,2982,171,7,11.5,10.99
Hyundai Grand i10 AT Asta,Hyundai,Coimbatore,2015,61717,Petrol,Automatic,First,1197,82,5,18.9,5.57
Hyundai Xcent 1.2 CRDi S,Hyundai,Jaipur,2018,25302,Diesel,Manual,First,1186,73.97,5,25.4,5.9
Hyundai Creta 1.6 VTVT S,Hyundai,Coimbatore,2016,47016,Petrol,Manual,First,1591,121.3,5,15.29,9.43
Hyundai i10 Sportz,Hyundai,Bangalore,2010,69000,Petrol,Manual,First,1197,78.9,5,20.36,2.9
Honda Brio S MT,Honda,Delhi,2016,32700,Petrol,Manual,First,1198,86.8,5,19.4,3.68
Toyota Fortuner 4x2 AT,Toyota,Coimbatore,2015,101337,Diesel,Automatic,First,2982,168.5,7,12.55,21.67
Audi A4 2.0 TDI Multitronic,Audi,Ahmedabad,2011,59000,Diesel,Automatic,First,1968,140,5,16.55,12.5
Toyota Innova Crysta 2.8 ZX AT,Toyota,Kochi,2018,41736,Diesel,Automatic,First,2755,171.5,7,11.36,19.92
Honda City i DTEC VX,Honda,Jaipur,2014,71649,Diesel,Manual,First,1498,98.6,5,25.1,6.75
Honda City i DTEC VX,Honda,Kochi,2015,80606,Diesel,Manual,First,1498,98.6,5,25.1,6.96
Renault KWID 1.0 RXT Optional,Renault,Jaipur,2017,63262,Petrol,Manual,First,999,67,5,21.7,3.25
Maruti Swift DDiS ZDI Plus,Maruti,Hyderabad,2018,5456,Diesel,Manual,First,1248,74,5,28.4,8.65
Maruti Celerio VXI Optional AMT,Maruti,Pune,2017,7500,Petrol,Automatic,First,998,67.04,5,23.1,5
Mahindra XUV500 W8 2WD,Mahindra,Delhi,2011,66000,Diesel,Manual,First,2179,140,7,15.1,5.5
Hyundai i10 Magna,Hyundai,Jaipur,2010,66770,Petrol,Manual,Second,1197,78.9,5,20.36,2.6
Hyundai i10 Magna 1.1,Hyundai,Kochi,2014,58472,Petrol,Manual,First,1086,68.05,5,19.81,3.41
Maruti Dzire VXI,Maruti,Kolkata,2011,46687,Petrol,Manual,First,1197,81.8,5,22,2.7
Maruti Grand Vitara AT,Maruti,Chennai,2008,77000,Petrol,Automatic,Fourth,1995,163.5,5,9.7,5.5
Audi TT 40 TFSI,Audi,Kolkata,2012,7000,Petrol,Automatic,First,1984,226.6,4,14.33,35
Mercedes-Benz New C-Class C 200 CGI,MercedesBenz,Mumbai,2011,48000,Petrol,Automatic,Second,1991,184,5,14.74,9.75
Nissan Sunny 2011-2014 Diesel XV,Nissan,Mumbai,2013,47000,Diesel,Manual,First,1461,84.8,5,21.64,4.25
Maruti Wagon R LXI,Maruti,Ahmedabad,2015,51530,Petrol,Manual,First,998,67.1,5,18.9,3.2
Maruti Swift Dzire ZDI,Maruti,Bangalore,2014,25789,Diesel,Manual,Second,1248,74,5,23.4,6.85
Honda Amaze S i-Dtech,Honda,Delhi,2015,48000,Diesel,Manual,First,1498,98.6,5,25.8,4.5
Maruti Swift ZDI,Maruti,Delhi,2012,52000,Diesel,Manual,First,1248,74,5,28.4,3.55
Hyundai Accent Executive CNG,Hyundai,Hyderabad,2010,95637,CNG,Manual,Second,1495,93.7,5,13.2,1.9
Mahindra Scorpio LX 2.6 Turbo,Mahindra,Hyderabad,2008,131000,Diesel,Manual,First,2609,120,7,10.5,3.6
Mercedes-Benz E-Class E250 CDI Avantgrade,MercedesBenz,Kochi,2015,42076,Diesel,Automatic,First,2143,201.1,5,13,21.8
Toyota Fortuner 4x2 Manual,Toyota,Mumbai,2012,76000,Diesel,Manual,Second,2982,168.5,7,13,13.5
Datsun redi-GO T Option,Datsun,Bangalore,2016,20487,Petrol,Manual,First,799,53.64,5,22.7,2.66
Honda City V MT,Honda,Delhi,2010,43000,Petrol,Manual,Second,1497,116.3,5,16.8,3.75
Toyota Camry Hybrid,Toyota,Pune,2018,17000,Petrol,Automatic,First,2494,158.2,5,19.16,32
Honda City i DTec V,Honda,Coimbatore,2016,60805,Diesel,Manual,First,1498,98.6,5,26,8.07
Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Volkswagen,Kochi,2012,58775,Diesel,Manual,First,1968,138.1,5,19.33,5.64
Audi A6 2011-2015 2.0 TDI,Audi,Hyderabad,2013,70181,Diesel,Automatic,First,1968,174.33,5,17.68,23.99
Maruti Ertiga VDI,Maruti,Coimbatore,2016,85827,Diesel,Manual,First,1248,88.76,7,20.77,7.5
Mercedes-Benz New C-Class C 220 CDI Style,MercedesBenz,Jaipur,2016,58205,Diesel,Automatic,First,2143,167.62,5,19.27,27
Maruti Swift Dzire Vdi BSIV,Maruti,Mumbai,2008,91000,Diesel,Manual,Second,1248,73.9,5,19.3,2.85
Renault Duster 110PS Diesel RxZ Pack,Renault,Pune,2012,74000,Diesel,Manual,First,1461,108.45,5,19.01,6.35
Maruti Ritz VDi,Maruti,Hyderabad,2010,79324,Diesel,Manual,First,1248,73.9,5,21.1,3.3
Maruti Swift Dzire VXI,Maruti,Bangalore,2013,38623,Petrol,Manual,First,1197,85.8,5,19.1,5
Maruti Swift ZDi,Maruti,Coimbatore,2014,59923,Diesel,Manual,First,1248,74,5,22.9,6.46
Hyundai EON Sportz,Hyundai,Jaipur,2017,23360,Petrol,Manual,First,814,55.2,5,21.1,3.75
Maruti Zen VXI BSII,Maruti,Kochi,2003,61495,Petrol,Manual,Third,993,60,5,17.3,1.52
Maruti Eeco 7 Seater Standard,Maruti,Coimbatore,2012,56661,Petrol,Manual,First,1196,73,7,15.1,3.61
Audi Q5 30 TDI quattro Premium,Audi,Coimbatore,2017,40318,Diesel,Automatic,First,1968,174.3,5,14.16,43.74
Audi Q3 2.0 TDI,Audi,Chennai,2014,60000,Diesel,Automatic,First,1968,174.33,5,15.73,20
Smart Fortwo CDI AT,Smart,Pune,2008,103000,Diesel,Automatic,Second,799,74,2,0,3
Maruti Swift Dzire VDi,Maruti,Hyderabad,2010,130000,Diesel,Manual,First,1248,73.9,5,19.3,3.65
Tata Sumo DX,Tata,Mumbai,2013,20000,Diesel,Manual,First,1978,83.1,10,14.07,5.25
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,BMW,Hyderabad,2016,76000,Diesel,Automatic,First,2993,258,7,15.97,58
Honda City i-VTEC CVT VX,Honda,Mumbai,2015,30000,Petrol,Automatic,First,1497,117.3,5,18,8.65
Tata Indigo eCS eLX BS IV,Tata,Delhi,2015,150000,Diesel,Manual,First,1396,69.01,5,25,2.5
Volkswagen Vento TSI,Volkswagen,Chennai,2014,28000,Petrol,Automatic,First,1197,103.6,5,16.93,7.75
Maruti Celerio VXI,Maruti,Bangalore,2015,74000,Petrol,Manual,First,998,67.04,5,23.1,4.15
Toyota Fortuner 3.0 Diesel,Toyota,Delhi,2011,75000,Diesel,Manual,First,2982,171,7,11.5,10.85
Mitsubishi Outlander 2.4,Mitsubishi,Delhi,2010,76000,Petrol,Automatic,Second,2360,170,5,11.3,5.53
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Volkswagen,Pune,2014,64889,Diesel,Automatic,First,1896,105,5,15.5,11.5
Porsche Cayman 2009-2012 S,Porsche,Hyderabad,2010,10000,Petrol,Manual,First,3436,74,2,9,40
Hyundai Creta 1.6 CRDi SX,Hyundai,Kolkata,2015,43000,Diesel,Manual,First,1582,126.2,5,19.67,9.25
Skoda Fabia 1.2 MPI Ambiente Petrol,Skoda,Pune,2011,47490,Petrol,Manual,First,1198,75,5,17.5,2.29
Ford EcoSport 1.5 TDCi Titanium,Ford,Chennai,2015,80000,Diesel,Manual,First,1498,98.59,5,22.77,7
Maruti Zen Estilo 1.1 LXI BSIII,Maruti,Bangalore,2007,60000,Petrol,Manual,Second,1061,64,5,18.2,1.65
Maruti Ciaz 1.4 Delta,Maruti,Ahmedabad,2017,6006,Petrol,Manual,First,1373,91.1,5,20.73,8.25
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,MercedesBenz,Kochi,2011,71703,Petrol,Automatic,First,1991,181.03,5,14.74,9.14
Honda Amaze SX i-VTEC,Honda,Hyderabad,2016,33000,Petrol,Manual,First,1198,86.7,5,17.8,6.5
Toyota Etios GD,Toyota,Kolkata,2012,60000,Diesel,Manual,First,1364,74,5,23.59,2.95
Renault Duster 85PS Diesel RxL,Renault,Jaipur,2015,91000,Diesel,Manual,First,1461,83.8,5,19.87,5.75
Maruti Wagon R LXI LPG BSIV,Maruti,Hyderabad,2012,72000,LPG,Manual,First,998,58.2,5,26.2,2.85
Volkswagen Polo Petrol Highline 1.2L,Volkswagen,Kolkata,2011,43000,Petrol,Manual,Second,1198,73.9,5,16.47,2.1
Hyundai Creta 1.6 SX Plus Diesel,Hyundai,Coimbatore,2017,63770,Diesel,Manual,First,1582,126.2,5,19.67,13.55
Jaguar XF Diesel,Jaguar,Kolkata,2012,43510,Diesel,Automatic,First,2993,270.9,5,14.74,20.5
Jeep Compass 2.0 Limited 4X4,Jeep,Mumbai,2017,52000,Diesel,Manual,First,1956,170,5,16.3,20
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Land,Kochi,2018,31427,Diesel,Automatic,First,1999,177,5,15.68,59.72
Maruti Baleno Alpha Diesel,Maruti,Kolkata,2016,29000,Diesel,Manual,First,1248,74,5,27.39,6.5
Maruti Ciaz ZDi SHVS,Maruti,Ahmedabad,2016,56000,Diesel,Manual,First,1248,88.5,5,28.09,7.5
Maruti SX4 Vxi BSIII,Maruti,Jaipur,2007,76000,Petrol,Manual,Second,1586,104.68,5,15,2.15
Hyundai Elantra CRDi SX,Hyundai,Coimbatore,2015,53615,Diesel,Manual,First,1582,126.24,5,22.7,8.44
Mitsubishi Pajero Sport 4X4,Mitsubishi,Bangalore,2013,132000,Diesel,Manual,First,2477,175.56,7,13.5,12.49
Volkswagen Ameo 1.2 MPI Comfortline,Volkswagen,Pune,2017,14800,Petrol,Manual,First,1198,73.75,5,17,5.48
Maruti Ritz VXi,Maruti,Hyderabad,2013,35433,Petrol,Manual,First,1197,85.8,5,18.5,4.2
Hyundai Verna CRDi SX,Hyundai,Hyderabad,2013,82966,Diesel,Manual,First,1493,110,5,16.8,7.2
Maruti Swift Dzire Tour LDI,Maruti,Jaipur,2014,96000,Diesel,Manual,First,1248,74,5,23.4,4.8
Mahindra KUV 100 mFALCON D75 K6,Mahindra,Kochi,2017,39528,Diesel,Manual,First,1198,77,6,25.32,5.83
Toyota Innova Crysta 2.4 ZX MT,Toyota,Coimbatore,2018,92056,Diesel,Manual,First,2393,147.8,7,13.68,18.39
Maruti Baleno Delta 1.2,Maruti,Pune,2016,14930,Petrol,Manual,First,1197,83.1,5,21.4,5.85
Honda Jazz VX Diesel,Honda,Mumbai,2016,38000,Diesel,Manual,First,1498,98.6,5,27.3,6.21
Hyundai i20 1.2 Asta,Hyundai,Delhi,2013,71000,Petrol,Manual,First,1197,80,5,17,3.65
Hyundai i20 Sportz Diesel,Hyundai,Delhi,2012,71000,Diesel,Manual,First,1396,90,5,23,3.7
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,MercedesBenz,Pune,2015,50000,Diesel,Automatic,First,2143,167.62,5,19.27,30
Hyundai Xcent 1.2 Kappa Base,Hyundai,Kochi,2016,48163,Petrol,Manual,First,1197,82,5,19.1,4.85
Hyundai Grand i10 AT Asta,Hyundai,Coimbatore,2017,19168,Petrol,Automatic,First,1197,82,5,18.9,6.93
Maruti Alto 800 VXI,Maruti,Kolkata,2016,26000,Petrol,Manual,First,796,47.3,5,22.74,2.6
Chevrolet Sail Hatchback 1.2 LS,Chevrolet,Kolkata,2014,37400,Petrol,Manual,First,1199,82.5,5,18.2,1.89
Mercedes-Benz C-Class Progressive C 220d,MercedesBenz,Mumbai,2018,8682,Diesel,Automatic,First,1950,194,5,0,39.5
Skoda Superb Elegance 1.8 TSI AT,Skoda,Mumbai,2012,95000,Petrol,Automatic,First,1798,157.75,5,13.7,10
Audi A4 2.0 TDI,Audi,Kolkata,2009,34000,Diesel,Automatic,First,1968,147.51,5,16.55,9.95
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Mumbai,2014,95000,Diesel,Manual,Second,2494,102,8,12.8,9.45
Mercedes-Benz CLA 200 CDI Sport,MercedesBenz,Coimbatore,2017,13689,Diesel,Automatic,First,2143,136,5,17.9,28.25
Hyundai i10 Era,Hyundai,Jaipur,2008,84000,Petrol,Manual,Second,1086,68.05,5,19.81,1.8
Maruti Swift Dzire VXi,Maruti,Kolkata,2008,47000,Petrol,Manual,Second,1298,85.8,5,17.5,1.4
Skoda Rapid 1.5 TDI AT Ambition,Skoda,Ahmedabad,2015,60001,Diesel,Automatic,First,1498,103.52,5,21.66,7.25
Maruti Ritz VDi,Maruti,Hyderabad,2012,96000,Diesel,Manual,First,1248,73.9,5,21.1,3.6
Hyundai Accent GLS 1.6,Hyundai,Jaipur,2004,47300,Petrol,Manual,Second,1599,94,5,14.4,1.2
Honda Amaze SX i-VTEC,Honda,Coimbatore,2014,28246,Petrol,Manual,Second,1198,86.7,5,17.8,4.94
Maruti Wagon R LXI,Maruti,Delhi,2007,65000,Petrol,Manual,Second,998,67.1,5,18.9,1.25
Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,Chennai,2013,68000,Diesel,Manual,Second,1199,73.9,5,22.07,4.8
Ford Endeavour 2.2 Trend AT 4X2,Ford,Kochi,2019,11209,Diesel,Automatic,First,2198,158,7,12.62,31.15
Hyundai i20 1.2 Sportz,Hyundai,Pune,2011,41980,Petrol,Manual,Second,1197,80,5,17,3.3
Chevrolet Beat Diesel PS,Chevrolet,Bangalore,2012,65000,Diesel,Manual,First,936,57.6,5,25.44,2.4
Honda Civic 2010-2013 1.8 V MT,Honda,Kolkata,2010,38000,Petrol,Manual,First,1799,130.2,5,14.8,2
Maruti Wagon R VXI BS IV,Maruti,Pune,2014,51000,Petrol,Manual,First,998,67.04,5,20.51,3.1
Skoda Rapid 1.6 MPI Ambition Plus,Skoda,Kochi,2014,33855,Petrol,Manual,First,1598,103.6,5,15,5.09
Maruti Baleno Vxi - BSIII,Maruti,Pune,2006,146000,Petrol,Manual,Second,1590,94,5,15.4,1.05
Ford EcoSport 1.5 TDCi Titanium,Ford,Bangalore,2015,47037,Diesel,Manual,Second,1498,98.59,5,22.77,7
Hyundai Accent GLE,Hyundai,Ahmedabad,2010,58000,Petrol,Manual,Second,1495,94,5,13.2,2.5
BMW 5 Series 520d Luxury Line,BMW,Mumbai,2012,61240,Diesel,Automatic,First,1995,190,5,22.48,17.5
Maruti Alto K10 2010-2014 VXI,Maruti,Chennai,2011,91211,Petrol,Manual,First,998,67.1,5,20.92,2.1
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Audi,Bangalore,2013,84000,Diesel,Automatic,First,1968,174.33,5,15.73,17.75
Maruti Wagon R LXI DUO BSIII,Maruti,Mumbai,2008,64226,LPG,Manual,First,1061,57.5,5,17.3,1.45
Toyota Corolla H4,Toyota,Bangalore,2005,67000,Petrol,Automatic,Second,1794,125,5,11.3,2.45
Volvo XC60 D5,Volvo,Pune,2011,106976,Diesel,Automatic,First,2400,215,5,13.5,13.8
Honda Jazz 1.5 VX i DTEC,Honda,Kolkata,2016,27210,Diesel,Manual,First,1498,98.6,5,27.3,5.85
Maruti Ciaz 1.3 Alpha,Maruti,Delhi,2017,26322,Diesel,Manual,First,1248,88.5,5,28.09,8.9
Maruti Swift VXI BSIV,Maruti,Mumbai,2016,9107,Petrol,Manual,First,1197,81.8,5,20.4,5.15
Mercedes-Benz New C-Class C 220 CDI Avantgarde,MercedesBenz,Kochi,2015,63983,Diesel,Automatic,First,2143,170,5,19.27,16.56
Maruti Wagon R VXI Minor,Maruti,Chennai,2010,134000,Petrol,Manual,Second,1061,67,5,18.9,1.65
Mercedes-Benz A Class A180 Sport,MercedesBenz,Pune,2015,11000,Petrol,Automatic,First,1595,120.7,5,15.5,16
Hyundai Santro Xing GL,Hyundai,Pune,2008,93000,Petrol,Manual,First,1086,62,5,0,1.45
Maruti Swift Dzire AMT ZDI,Maruti,Coimbatore,2017,24852,Diesel,Automatic,First,1248,74,5,26.59,8.08
Hyundai Grand i10 AT Asta,Hyundai,Pune,2014,37632,Petrol,Automatic,First,1197,82,5,18.9,4.5
Nissan Sunny 2011-2014 XV Special Edition,Nissan,Chennai,2013,55000,Petrol,Manual,Second,1498,97.7,5,16.95,4.3
Maruti A-Star Lxi,Maruti,Hyderabad,2010,81448,Petrol,Manual,First,998,66.1,5,19,2.6
Renault KWID RXT Optional,Renault,Hyderabad,2018,1900,Petrol,Manual,First,799,53.3,5,25.17,4.45
Hyundai Verna 1.6 SX VTVT (O) AT,Hyundai,Coimbatore,2012,54957,Petrol,Automatic,First,1591,121.4,5,17.1,5.37
Maruti Wagon R LXI Minor,Maruti,Chennai,2008,55000,Petrol,Manual,Second,1061,67,5,18.9,1.75
BMW 3 Series 320d Sport Line,BMW,Kolkata,2013,21983,Diesel,Automatic,First,1995,184,5,18.88,16.5
BMW 5 Series 2003-2012 520d,BMW,Delhi,2013,76000,Diesel,Automatic,First,1995,177,5,18.48,19
Tata Indigo CS eVX,Tata,Jaipur,2016,65000,Diesel,Manual,First,1396,69.01,5,25,2.8
Hyundai i20 Sportz 1.4 CRDi,Hyundai,Hyderabad,2015,26000,Diesel,Manual,First,1396,88.73,5,22.54,6.2
Maruti Omni E MPI STD BS IV,Maruti,Kochi,2019,11571,Petrol,Manual,First,796,34.2,8,16.8,3.8
Maruti Swift ZDi,Maruti,Hyderabad,2014,81000,Diesel,Manual,First,1248,74,5,25.2,6.1
Ford Ecosport Signature Edition Diesel,Ford,Coimbatore,2019,23154,Diesel,Manual,First,1498,98.96,5,23,11.65
Honda Brio VX AT,Honda,Mumbai,2014,26856,Petrol,Automatic,First,1198,86.8,5,16.5,4.15
Toyota Innova Crysta 2.4 GX MT,Toyota,Chennai,2017,67489,Diesel,Manual,First,2393,147.8,7,13.68,16.5
Mahindra Scorpio 2.6 LX,Mahindra,Bangalore,2008,176000,Diesel,Manual,Second,2179,120,8,10.5,4.3
Hyundai i20 1.2 Magna,Hyundai,Kolkata,2010,18000,Petrol,Manual,First,1197,80,5,18.5,2.25
Hyundai Verna 1.6 SX,Hyundai,Ahmedabad,2014,63003,Diesel,Manual,First,1582,126.32,5,22.32,6.75
Mahindra XUV500 W6 2WD,Mahindra,Chennai,2014,80000,Diesel,Manual,First,2179,140,7,15.1,9.4
Volkswagen Vento 1.5 TDI Comfortline,Volkswagen,Coimbatore,2014,56658,Diesel,Manual,First,1498,108.5,5,20.64,5.39
Maruti Swift Dzire VDI Optional,Maruti,Kochi,2019,18592,Diesel,Manual,First,1248,74,5,26.59,8.51
Tata Manza Aura Safire BS IV,Tata,Pune,2010,75695,Petrol,Manual,First,1368,88.8,5,13.7,1.85
Maruti Swift VDI,Maruti,Kolkata,2012,82000,Diesel,Manual,Second,1248,74,5,22.9,2.5
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Chennai,2013,60000,Diesel,Manual,First,1199,73.9,5,22.07,4.75
Honda City 1.5 V MT,Honda,Pune,2009,138000,Petrol,Manual,Second,1497,118,5,17,3.5
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Hyundai,Bangalore,2014,67000,Diesel,Manual,First,1396,90,5,23,5.5
Honda City 1.5 V MT,Honda,Coimbatore,2012,42750,Petrol,Manual,First,1497,118,5,17,6.33
Chevrolet Beat Diesel,Chevrolet,Kochi,2014,52398,Diesel,Manual,First,936,57.6,5,25.44,2.47
Chevrolet Spark 1.0 LS,Chevrolet,Kochi,2014,36657,Petrol,Manual,First,995,62.1,5,16.2,3.3
Tata New Safari DICOR 2.2 EX 4x2,Tata,Delhi,2011,77000,Diesel,Manual,Second,2179,138.1,7,11.57,3.5
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,MercedesBenz,Delhi,2014,85000,Diesel,Automatic,First,2987,254.8,7,11.3,38.75
BMW 5 Series 2003-2012 530d Highline,BMW,Pune,2008,112500,Diesel,Automatic,First,2993,235,5,11.5,7.99
Toyota Fortuner 2.8 4WD MT,Toyota,Kochi,2013,105072,Diesel,Manual,First,2755,174.5,7,14.24,13.28
BMW X1 sDrive 18i,BMW,Pune,2012,80000,Petrol,Automatic,First,1995,150,5,11.25,9.5
Renault Captur 1.5 Diesel Platine Mono,Renault,Kochi,2019,3102,Diesel,Manual,First,1461,108.45,5,20.37,14.01
Hyundai Xcent 1.1 CRDi S,Hyundai,Coimbatore,2016,14656,Diesel,Manual,First,1120,71,5,24.4,6.99
BMW 3 Series 320d,BMW,Hyderabad,2010,105000,Diesel,Automatic,Second,1995,170,5,13.2,11
BMW 5 Series 2010-2013 525i,BMW,Hyderabad,2008,61000,Petrol,Automatic,Second,2497,215,5,10.8,11
Nissan Micra XE,Nissan,Pune,2010,85046,Petrol,Manual,Second,1198,75,5,18.06,2.3
Jaguar XF 2.2 Litre Luxury,Jaguar,Delhi,2014,48000,Diesel,Automatic,First,2179,187.7,5,16.36,26.5
Land Rover Range Rover TDV8 (Diesel),Land,Bangalore,2011,55000,Diesel,Automatic,First,4367,308,7,10.2,67
Jeep Compass 1.4 Limited Option,Jeep,Mumbai,2017,4000,Petrol,Automatic,First,1368,160,5,16,17.75
Honda CR-V 2.4 AT,Honda,Delhi,2010,94000,Petrol,Automatic,Second,2354,152,5,10.1,4.8
Maruti Swift VXI,Maruti,Coimbatore,2013,61110,Petrol,Manual,First,1197,85.8,5,18.6,4.57
Hyundai Xcent 1.1 CRDi S,Hyundai,Chennai,2016,80000,Diesel,Manual,First,1120,71,5,24.4,3.5
Nissan Terrano XV Premium 110 PS,Nissan,Kochi,2015,43190,Diesel,Manual,First,1461,108.5,5,19.01,7.61
Audi A4 35 TDI Technology,Audi,Hyderabad,2015,45000,Diesel,Automatic,First,1968,187.74,5,18.25,25
Hyundai Grand i10 Asta Option,Hyundai,Coimbatore,2016,44178,Petrol,Manual,First,1197,82,5,18.9,5.88
Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,Hyderabad,2015,84415,Diesel,Manual,First,2494,100.6,8,12.99,13.5
Hyundai i20 1.2 Magna,Hyundai,Kolkata,2015,35000,Petrol,Manual,First,1197,80,5,18.5,4.6
Ford EcoSport 1.5 TDCi Titanium,Ford,Kolkata,2013,44000,Diesel,Manual,First,1498,98.59,5,22.77,4.9
