,km_Driven,Fuel_Type,Owner_Type,Engine CC,Power(bhp),Seats,Mileage Km/L,Price,No of Years,Transmission_Manual
1452,45.0,1,0,1968,184.0,5,17.32,27.0,6,0
1453,15.388,1,0,1498,98.6,5,25.8,7.5,6,1
1454,98.798,3,0,1599,104.0,5,14.7,1.5,18,1
1455,43.0,1,0,1968,174.3,5,14.16,39.5,6,0
1456,85.112,1,0,1248,73.94,5,23.2,3.39,10,1
1457,37.804,1,0,2179,120.0,7,15.4,12.4,4,1
1458,45.0,1,0,1248,88.5,5,28.09,6.85,8,1
1459,116.0,1,2,1364,138.0,5,21.43,5.75,11,1
1460,100.073,1,2,1396,69.0,5,25.0,2.0,7,1
1461,165.0,3,0,796,37.0,4,16.1,0.9,16,1
1462,22.0,3,0,1198,74.0,5,16.47,3.8,7,1
1463,9.5,3,0,1999,149.92,5,14.62,16.35,5,0
1464,152.0,1,0,2982,169.0,7,11.5,16.5,10,0
1465,17.705,3,0,1197,83.1,5,21.4,8.7,3,1
1466,12.0,3,0,1197,83.1,5,21.4,6.1,6,1
1467,51.0,1,0,1998,112.0,5,23.8,21.94,9,0
1468,42.0,1,2,2987,210.0,5,13.0,22.0,13,0
1469,51.0,3,0,998,67.1,5,20.92,2.65,7,1
1470,42.527,3,0,1197,81.8,5,20.4,5.27,5,1
1471,45.0,1,0,1248,74.0,5,22.1,2.48,8,1
1472,70.0,1,0,2494,102.0,8,12.8,6.0,11,1
1473,92.0,1,0,2982,171.0,7,11.5,8.9,13,1
1474,57.156,1,2,1995,184.0,5,18.88,18.0,10,0
1475,53.211,3,0,1395,138.02,5,16.8,11.64,6,1
1476,80.0,1,0,2982,171.0,7,11.5,8.99,3,1
1477,74.0,1,0,1896,105.0,5,15.5,5.25,13,0
1478,37.0,1,0,1396,90.0,5,23.0,2.95,11,1
1479,64.0,1,2,1248,88.76,5,21.02,2.65,9,1
1480,57.197,3,0,1598,103.6,5,15.04,4.0,9,1
1481,55.0,1,0,1582,126.2,5,17.6,12.5,6,0
1482,33.0,3,0,1197,85.8,5,21.1,3.25,8,1
1483,70.0,3,0,1997,141.1,5,13.1,4.0,14,1
1484,75.0,1,2,2179,140.0,7,15.1,6.25,10,1
1485,58.095,1,0,1498,108.62,5,21.66,5.8,6,1
1486,7.445,3,0,1193,88.7,5,17.57,5.0,7,1
1487,17.652,1,0,2993,270.88,5,12.9,58.73,6,0
1488,28.321,3,0,1798,138.03,5,14.28,17.49,4,0
1489,69.0,3,2,998,66.1,5,19.0,1.95,11,1
1490,80.0,3,0,2354,142.0,5,11.1,3.0,15,0
1491,42.365,3,0,1197,80.0,5,17.0,5.5,8,1
1492,123.0,1,0,2982,168.5,7,12.55,16.5,9,0
1493,40.0,3,2,1796,186.0,5,11.74,14.5,11,0
1494,30.112,1,0,1248,74.0,5,27.39,7.79,6,1
1495,43.775,1,0,1248,88.76,7,20.77,8.27,5,1
1497,56.0,3,0,1598,102.5,5,12.9,2.15,10,1
1498,95.0,3,2,1799,130.0,5,12.9,3.0,14,0
1499,41.089,1,0,1995,184.0,5,16.09,28.79,8,0
1500,41.988,1,0,1968,138.1,5,20.0,5.45,11,0
1501,72.486,1,0,1248,74.0,5,23.4,3.95,9,1
1502,92.0,1,0,1984,150.0,5,23.3,16.0,9,0
1503,40.0,3,0,1298,85.8,5,17.5,4.25,9,1
1504,56.0,1,0,2179,187.7,5,12.7,34.5,8,0
1505,125.0,3,3,2354,177.6,5,11.7,2.6,14,0
1506,29.219,1,0,2494,100.6,8,12.99,13.48,5,1
1507,39.927,1,0,2982,168.5,7,12.55,32.1,4,1
1508,38.593,3,0,1199,88.7,5,18.7,6.17,4,1
1509,32.0,3,0,1497,118.0,5,17.0,5.5,7,1
1510,28.226,1,0,1248,73.75,5,28.4,9.15,5,0
1511,95.0,1,0,1461,84.8,5,21.64,4.5,8,1
1512,194.0,1,0,2494,100.6,8,12.99,10.5,8,1
1513,14.821,3,0,1198,86.8,5,19.4,5.37,6,1
1514,52.0,3,0,1598,103.6,5,15.04,5.45,10,1
1515,33.0,1,0,2179,140.0,7,16.0,9.25,6,1
1516,29.2,1,0,1498,98.96,5,23.0,7.7,6,1
1517,99.754,1,0,1968,108.49,5,17.72,7.99,10,1
1518,49.0,3,0,1197,78.9,5,20.36,3.0,10,1
1519,299.322,1,0,2494,102.0,8,12.8,4.0,17,1
1520,38.31,1,0,1248,88.7,5,20.65,6.69,4,1
1521,56.0,1,0,1248,74.0,5,22.9,4.25,8,1
1522,31.3,1,0,1498,108.4,5,21.72,10.5,5,0
1523,11.241,1,0,2393,147.8,8,13.68,22.55,3,1
1524,48.0,3,2,1591,121.3,5,17.01,5.2,8,1
1525,23.882,3,0,1497,117.3,5,17.4,11.87,3,1
1526,65.0,1,0,1498,98.6,5,26.0,6.99,8,1
1527,50.0,1,0,1598,103.6,5,20.54,5.0,11,1
1528,25.0,1,0,2967,236.0,5,12.19,44.0,8,0
1529,21.0,3,0,796,47.3,5,22.74,2.79,7,1
1530,148.0,1,2,1248,88.8,5,21.12,2.9,10,1
1531,68.0,3,0,1591,121.3,5,15.29,9.85,6,1
1532,52.0,1,0,2987,224.0,7,12.0,49.0,8,0
1533,19.0,1,0,2498,105.0,6,16.55,9.25,6,1
1534,74.0,1,2,1582,126.3,5,22.32,3.75,11,1
1535,30.279,1,0,1498,99.0,5,26.1,7.29,5,1
1536,20.0,1,0,1496,113.98,4,20.7,23.5,6,0
1537,34.834,3,0,796,35.0,5,14.0,2.6,9,1
1538,90.0,1,2,1461,65.0,5,21.03,3.1,7,1
1539,38.73,1,0,2143,203.0,5,14.21,29.98,6,0
1540,57.39,1,0,1461,108.45,5,19.01,6.73,6,1
1541,100.0,1,0,1248,74.0,5,23.4,3.5,6,1
1542,50.0,3,0,1198,73.9,5,16.47,2.35,11,1
1543,64.961,1,0,2179,140.0,7,16.0,16.13,5,1
1544,72.465,3,0,1198,74.0,5,16.47,5.9,8,1
1545,68.776,3,0,1197,85.8,5,21.1,3.9,10,1
1546,150.0,3,0,1598,74.0,5,14.7,1.5,17,1
1547,68.0,1,0,2494,102.0,7,12.8,6.95,10,1
1548,33.0,1,0,1498,98.6,5,26.0,7.0,7,1
1549,22.389,3,0,1198,73.75,5,17.0,7.23,5,1
1550,90.0,1,0,1248,88.8,5,21.5,3.81,10,1
1551,42.0,3,3,1197,85.8,5,18.6,4.5,10,1
1552,38.767,1,0,1582,126.2,5,19.67,12.6,5,1
1553,21.0,1,0,2967,241.4,7,12.07,48.0,7,0
1554,59.136,3,0,796,46.3,5,19.7,2.96,12,1
1555,36.0,1,0,1498,98.6,5,25.8,3.25,8,1
1556,95.0,1,2,1968,167.7,5,18.33,8.5,11,0
1557,51.0,1,0,1582,126.24,5,19.5,8.75,9,0
1558,36.411,3,0,998,67.1,5,18.9,3.08,11,1
1559,40.0,1,0,1999,148.31,7,12.81,41.5,5,0
1560,27.3,3,0,1497,117.3,5,17.8,7.0,6,1
1561,29.813,3,2,1991,181.03,5,14.74,11.5,11,0
1562,71.0,3,0,998,67.04,5,20.51,2.6,11,1
1563,32.0,1,0,1582,126.3,5,22.32,4.3,8,1
1564,19.234,0,0,1373,80.46,7,17.5,8.35,5,1
1565,50.51,1,0,1968,141.0,5,17.06,24.9,5,0
1566,102.0,1,0,1995,177.0,5,15.06,13.75,11,0
1567,42.277,1,0,1186,73.97,5,24.0,3.85,8,1
1568,46.0,1,0,2143,201.1,5,13.0,23.25,8,0
1569,35.0,1,0,2523,74.0,7,13.6,7.0,10,1
1570,50.0,3,0,1197,82.0,5,18.9,5.75,7,1
1571,62.0,3,2,1197,78.9,5,20.36,1.65,14,1
1572,78.0,1,0,1968,138.1,5,19.33,6.5,10,1
1573,79.0,1,0,1968,138.08,5,17.67,7.5,11,1
1574,6.773,1,0,2967,245.0,7,14.75,72.94,3,0
1575,135.0,1,2,2982,171.0,7,11.5,11.0,12,1
1576,36.716,3,0,1061,67.0,5,18.9,3.02,9,1
1577,65.06,3,0,814,55.2,5,21.1,3.32,9,1
1578,33.0,3,0,1198,86.8,5,19.4,3.24,9,1
1579,11.11,3,0,796,47.3,5,22.74,2.35,7,1
1580,63.0,1,0,2523,62.1,7,15.96,5.5,9,1
1581,27.03,3,0,1497,117.3,5,17.8,6.75,7,1
1582,19.6,3,0,1598,103.52,5,15.0,6.15,7,1
1583,27.755,3,0,1197,81.8,5,22.0,5.45,6,1
1584,20.0,3,2,814,55.2,5,21.1,2.3,9,1
1585,24.782,3,0,1197,83.14,5,20.85,6.21,7,1
1586,47.303,3,0,1198,76.0,5,19.34,5.21,8,0
1588,135.0,1,0,1248,75.0,5,17.8,3.1,12,1
1589,1.0,1,0,2179,138.03,5,13.49,7.5,5,1
1590,29.0,1,0,1498,88.8,5,20.14,4.0,6,1
1591,36.367,3,0,1497,117.3,5,17.8,7.73,6,1
1592,38.0,3,0,1497,117.3,5,17.4,7.8,7,1
1593,83.969,3,0,796,37.0,4,16.1,1.3,11,1
1594,82.621,1,0,1498,88.8,5,20.14,4.42,8,1
1595,89.0,1,0,1991,147.9,7,12.5,4.0,13,0
1596,54.0,1,0,2179,140.0,7,16.0,13.0,6,1
1597,61.691,1,0,1498,98.6,5,25.8,5.38,7,1
1598,32.2,3,2,1197,80.0,5,17.0,3.25,11,1
1599,68.63,3,0,998,67.0,5,20.51,3.87,6,0
1600,61.0,1,2,1968,138.03,5,16.96,8.25,8,0
1601,32.644,3,0,1373,91.1,5,20.73,9.28,4,1
1602,85.0,1,0,2179,120.0,7,11.79,6.25,10,0
1603,75.0,3,2,1150,74.9,5,15.26,1.15,14,1
1604,40.347,3,0,1373,91.2,5,20.73,7.8,6,1
1605,60.788,1,0,1396,90.0,5,23.0,4.5,10,1
1606,18.664,3,0,1199,88.7,5,18.7,7.56,4,1
1607,57.847,1,0,2179,140.0,7,16.0,16.08,5,1
1608,52.237,3,0,1197,80.0,5,17.0,4.5,10,1
1609,128.0,1,0,1582,126.32,5,22.32,5.0,10,1
1610,54.0,3,0,1086,68.05,5,19.81,2.2,11,1
1611,49.8,3,0,998,67.04,5,23.1,4.0,8,0
1612,98.0,1,0,1199,73.9,5,20.86,2.51,10,1
1613,60.095,1,0,1248,74.0,5,25.2,4.75,7,1
1614,68.0,3,2,1086,66.7,5,16.0,2.0,14,1
1615,81.402,3,2,1197,78.9,5,20.36,2.1,12,1
1616,38.0,3,0,1499,110.0,5,16.5,6.25,9,0
1617,92.239,1,2,2987,210.0,5,11.5,10.6,11,0
1618,49.224,1,0,1248,74.0,5,25.2,6.0,5,1
1619,12.0,3,2,796,37.0,4,16.1,0.45,18,1
1620,54.898,3,3,1298,88.2,5,16.1,2.5,12,1
1621,2.5,3,0,1591,121.3,5,15.29,12.75,4,1
1622,32.838,1,0,1995,190.0,5,17.05,30.29,5,0
1623,27.076,3,0,1299,70.0,5,13.8,1.6,16,1
1624,75.445,1,0,1498,89.84,5,22.7,7.54,5,1
1625,46.601,3,0,1373,91.1,5,20.73,6.84,7,1
1626,72.0,1,0,1968,167.7,5,18.33,6.0,10,0
1627,27.0,1,0,1498,98.6,5,27.3,8.0,5,1
1628,68.193,1,0,1968,174.33,5,17.11,24.74,6,0
1629,34.429,1,0,1120,70.0,5,24.0,5.5,5,1
1630,46.0,1,0,2987,224.0,7,12.0,36.0,9,0
1631,80.544,1,0,2494,100.6,7,12.99,11.79,9,1
1632,42.0,3,2,1498,97.7,5,16.95,3.0,11,1
1633,94.821,1,2,1968,138.1,5,20.0,6.75,11,0
1634,100.0,3,0,1399,92.7,5,14.49,1.4,16,1
1635,57.0,1,0,1498,98.6,7,24.2,5.75,8,1
1636,79.894,1,0,1248,73.9,5,21.1,3.4,12,1
1637,44.748,3,2,1198,73.9,5,16.47,4.89,11,1
1638,31.0,3,0,1598,102.5,5,13.24,4.95,9,1
1639,60.587,3,2,998,66.1,5,16.98,3.49,9,0
1640,32.0,1,0,1364,74.0,5,23.59,3.85,11,1
1641,43.772,3,0,1497,118.0,5,17.0,6.35,8,1
1642,23.576,3,0,1197,82.0,5,18.9,7.08,5,0
1643,4.0,1,0,1999,177.0,5,13.6,38.0,5,0
1644,62.0,1,0,2179,120.0,8,12.05,6.25,10,1
1645,36.0,3,0,1796,186.0,5,11.74,10.15,11,0
1646,80.0,3,0,1798,157.75,5,13.7,10.75,8,0
1647,137.008,1,0,1991,147.9,4,18.1,4.65,10,0
1648,61.001,1,0,2179,120.0,8,12.05,4.75,12,1
1649,52.191,3,0,1591,121.3,5,17.1,7.78,7,1
1650,77.076,1,0,1396,90.0,5,23.0,6.75,6,1
1651,56.0,3,0,1497,78.0,5,16.4,2.99,14,0
1652,21.0,3,0,1197,78.9,5,20.36,2.35,9,1
1653,89.429,1,0,1498,98.6,5,25.8,3.65,9,1
1654,45.631,3,2,998,67.04,5,22.5,2.74,10,1
1655,53.959,3,0,1198,86.8,5,19.4,3.5,9,1
1656,55.804,3,0,1197,80.0,5,17.0,4.76,8,1
1657,25.899,3,0,1598,103.2,5,15.04,6.2,6,1
1658,82.0,1,2,1896,66.0,5,18.7,2.35,14,1
1659,52.0,1,0,2143,204.0,5,13.0,24.5,8,0
1660,20.0,3,0,1598,102.57,5,13.24,6.0,9,1
1661,31.829,3,0,814,55.2,5,21.1,3.65,5,1
1662,18.094,3,2,1197,85.8,5,18.6,6.26,6,1
1663,80.0,1,2,1461,74.0,5,19.5,2.1,11,1
1664,11.964,1,0,2967,241.4,5,13.22,32.95,7,0
1665,22.684,3,0,1197,81.83,5,18.6,7.8,4,1
1666,43.521,3,0,1198,86.8,5,19.4,4.25,8,1
1667,49.386,3,0,1298,85.8,5,17.5,4.86,8,1
1668,12.248,3,0,1197,81.86,5,18.9,4.9,5,1
1669,67.771,1,0,2498,112.0,8,11.68,7.06,8,1
1670,60.007,3,0,1798,189.0,4,17.21,4.5,7,0
1671,48.624,3,0,998,67.1,5,24.07,3.22,11,1
1672,30.0,1,0,1199,73.9,5,22.07,3.25,8,1
1673,81.605,3,0,1197,82.0,5,18.9,4.53,6,1
1674,32.642,1,0,2143,170.0,5,14.84,34.78,5,0
1675,34.2,3,0,1591,121.3,5,15.74,6.5,8,0
1676,72.204,3,0,1172,67.0,5,15.7,2.25,12,1
1677,156.347,1,2,2494,100.0,8,12.99,8.0,11,1
1678,47.357,1,0,1493,100.0,7,18.49,8.37,5,0
1679,61.738,1,0,1498,88.8,5,20.14,5.39,7,1
1680,32.586,1,0,1995,190.0,5,22.48,37.3,4,0
1681,40.129,1,0,2987,254.79,5,11.57,70.8,4,0
1682,51.0,1,0,2987,254.8,5,11.74,22.25,10,0
1683,10.393,3,0,1197,81.86,5,18.9,6.03,4,1
1684,46.0,3,0,1798,157.75,5,13.7,4.9,11,0
1685,21.0,3,0,1197,78.9,5,16.95,3.96,9,0
1686,113.562,1,0,1396,90.0,5,23.0,4.6,11,1
1687,100.01,1,2,2179,120.0,8,12.05,5.5,11,1
1688,63.107,3,0,1198,86.8,5,19.4,3.25,9,1
1689,58.5,3,0,1197,81.83,5,18.6,6.25,5,1
1690,90.0,1,1,2499,143.0,7,10.9,3.0,15,1
1691,108.242,1,0,1493,110.0,5,16.8,4.25,11,1
1692,146.3,1,0,2982,171.0,7,11.5,12.25,11,1
1693,62.943,1,2,1995,184.0,5,17.05,10.95,11,0
1694,65.0,1,0,2982,168.5,7,12.55,16.5,9,0
1695,1.7,3,0,1199,88.76,5,19.0,7.8,4,0
1696,34.697,3,0,1086,68.05,5,19.81,3.7,9,1
1697,58.0,3,0,1197,80.0,5,17.0,4.0,10,1
1698,32.5,1,0,1995,187.74,5,19.59,26.75,7,0
1699,58.661,1,0,1968,181.0,5,15.17,28.03,6,0
1700,37.124,3,0,1197,81.8,5,20.4,5.44,5,1
1701,44.0,3,0,1197,83.1,5,21.4,6.2,5,0
1702,45.2,3,0,1495,94.0,5,13.2,0.9,17,1
1703,11.0,3,0,1197,85.8,5,18.5,3.95,6,1
1704,65.0,3,2,624,35.0,4,26.0,0.44,11,1
1705,55.005,1,0,1399,68.0,5,20.0,2.75,10,1
1706,81.65,1,0,1968,167.7,5,18.33,7.5,11,0
1707,160.0,1,2,1248,93.0,5,19.0,2.5,12,1
1708,169.0,1,0,2489,93.7,7,14.95,5.0,7,1
1709,67.263,3,0,998,67.1,5,18.9,3.6,9,1
1710,44.223,3,0,1496,88.7,5,17.6,3.99,10,1
1711,36.84,3,0,1197,82.0,5,18.9,5.64,7,1
1712,160.0,1,0,2494,100.0,8,12.99,12.0,8,1
1713,133.0,1,0,1405,62.0,5,16.8,0.7,14,1
1714,69.123,1,0,1995,184.0,5,18.88,19.0,7,0
1716,5.5,3,0,1462,103.25,5,21.56,8.2,5,1
1717,1.001,1,0,1498,99.0,5,25.83,7.55,7,1
1718,59.0,3,3,1150,74.9,5,15.26,0.99,15,1
1719,78.256,3,0,1497,118.0,5,16.8,4.15,11,0
1720,90.0,3,0,1498,97.6,5,16.95,6.2,6,1
1721,18.0,3,0,1197,85.8,5,19.1,4.4,6,1
1722,60.0,1,0,1399,68.0,5,20.0,2.1,10,1
1723,130.0,1,0,1248,75.0,5,20.3,2.2,11,1
1724,32.851,3,0,1197,81.86,5,18.6,8.34,4,1
1725,32.0,1,0,1248,74.0,5,23.4,4.35,8,1
1726,62.7,1,0,1498,89.84,5,22.7,6.8,8,1
1727,71.0,1,0,1248,73.9,5,19.3,3.3,12,1
1728,19.947,3,0,1197,82.0,5,18.9,5.04,6,1
1729,91.0,1,0,2953,153.86,7,11.4,9.2,10,0
1730,74.0,1,0,1199,73.9,5,22.07,5.7,8,1
1731,55.594,1,0,1493,100.0,7,18.49,8.48,4,1
1733,110.224,1,0,1461,108.45,5,19.01,6.1,10,1
1734,21.002,3,0,998,67.04,5,22.5,2.75,12,1
1735,121.0,1,0,1248,88.5,7,24.52,8.0,5,1
1736,73.513,3,0,796,46.3,5,19.7,1.85,12,1
1737,34.0,3,0,998,67.0,5,20.51,3.85,7,0
1738,28.371,3,0,1196,73.0,7,15.1,4.74,5,1
1739,74.755,1,0,1461,108.45,5,19.6,5.63,9,1
1740,25.805,3,0,1061,64.0,5,18.2,2.62,11,1
1741,82.603,3,0,1598,102.53,5,13.06,4.9,7,1
1742,110.0,3,0,1799,130.0,5,13.5,2.65,16,1
1743,88.0,1,0,2179,140.0,7,16.0,5.99,10,1
1744,110.0,1,2,1461,64.1,5,21.0,2.4,11,1
1745,15.0,3,0,999,67.0,5,21.7,4.25,5,1
1746,70.0,1,0,2967,240.0,5,15.15,40.0,9,0
1747,150.0,1,2,1248,74.0,5,28.4,2.7,14,1
1748,19.0,3,0,1198,67.0,5,20.63,2.99,6,1
1749,37.442,3,0,1197,80.0,5,18.5,3.4,11,1
1750,63.111,1,2,1995,190.0,5,18.12,30.8,6,0
1751,88.0,1,0,1248,88.8,7,20.77,5.85,10,1
1752,42.355,3,0,1197,82.0,5,18.9,4.0,8,1
1753,75.871,3,0,2996,254.0,5,9.43,14.12,11,0
1754,65.0,1,0,1998,163.7,5,17.9,4.55,11,1
1756,79.232,1,0,1248,73.9,5,21.1,2.9,11,1
1757,220.0,3,2,1796,186.0,5,11.74,6.0,15,0
1758,28.47,3,0,1197,81.83,5,18.6,6.95,6,1
1759,9.759,3,0,998,68.05,5,20.3,2.75,8,1
1760,75.216,1,0,1248,74.0,5,22.9,5.1,8,1
1761,8.0,3,0,1197,81.83,5,18.6,6.75,5,1
1762,59.451,3,0,1197,85.8,5,18.5,3.69,8,1
1763,53.996,1,0,1248,74.0,5,22.9,5.45,9,1
1764,15.135,3,0,1199,88.7,5,17.5,9.29,4,1
1765,53.0,3,2,1197,81.86,5,16.9,4.0,7,0
1766,40.0,3,0,1198,86.7,5,18.0,2.9,9,1
1767,21.107,3,0,1591,121.3,5,17.1,5.25,9,1
1768,56.0,3,0,1497,116.3,5,16.8,5.75,8,1
1769,19.623,3,0,1591,121.3,5,15.29,13.12,5,1
1770,70.963,1,0,2179,140.0,7,15.1,7.83,8,1
1771,25.755,0,0,998,58.16,5,26.6,3.15,9,1
1772,51.45,1,0,2494,102.0,7,12.8,10.4,9,1
1773,75.0,1,0,1248,74.0,5,22.9,4.35,10,1
1774,37.832,3,0,998,67.0,5,22.5,5.23,5,0
1775,43.041,3,0,1197,81.86,5,18.9,6.01,6,1
1776,97.236,1,0,1498,98.6,5,25.8,4.4,8,1
1777,83.0,1,0,1995,181.0,5,16.07,12.75,12,0
1778,65.0,3,0,1196,70.0,5,15.6,2.4,11,1
1779,46.007,3,0,1198,73.75,5,17.0,5.71,4,1
1780,65.925,1,2,1498,89.84,5,22.7,5.49,7,1
1781,73.5,3,2,1343,90.0,5,13.0,1.3,18,1
1782,55.0,1,0,2179,140.0,7,16.0,8.5,8,1
1783,115.0,1,0,2982,168.5,7,13.0,12.99,10,1
1784,31.184,3,0,1197,81.86,5,18.9,5.0,5,1
1785,41.747,1,0,1248,73.75,5,28.4,9.0,5,0
1786,38.143,1,0,1248,74.0,5,22.9,5.22,6,1
1787,19.03,3,0,1198,73.9,5,16.47,3.8,10,1
1788,20.877,3,0,1197,78.9,5,18.16,7.27,3,1
1789,23.555,3,0,1197,81.8,5,22.0,5.1,6,1
1790,29.0,1,0,2143,203.0,5,14.21,29.0,9,0
1791,61.0,3,0,998,67.1,5,18.9,2.9,9,1
1792,4.187,3,0,624,35.0,4,26.0,1.38,10,1
1793,46.0,3,0,1798,157.8,5,13.4,5.5,11,1
1794,28.0,3,0,1197,103.5,5,17.21,7.25,6,0
1795,83.558,1,0,1582,126.32,5,22.32,6.98,8,1
1796,40.0,1,0,1248,74.0,5,22.95,5.25,5,1
1797,36.0,3,0,814,55.2,5,21.1,1.95,9,1
1798,21.0,1,0,1968,174.33,5,17.11,24.5,8,0
1799,62.162,1,0,2494,100.0,7,12.99,8.31,9,1
1800,83.0,1,0,2987,254.8,5,11.74,36.0,10,0
1801,58.0,1,0,1120,71.0,5,24.4,5.5,7,1
1802,62.332,3,0,2354,177.6,5,11.7,5.89,11,0
1803,50.867,1,0,1498,103.2,5,20.34,7.95,6,1
1804,73.0,3,0,1197,80.0,5,17.0,2.75,12,1
1805,98.008,1,0,1582,126.24,5,22.7,6.25,10,1
1806,36.0,1,0,1399,68.05,5,20.0,4.95,7,1
1807,27.339,3,0,1197,81.83,5,18.6,6.27,3,1
1808,25.0,1,0,1582,126.2,5,23.9,8.65,5,1
1809,37.0,3,0,1197,82.0,5,18.9,3.5,8,1
1810,56.0,1,0,1968,174.3,5,14.16,35.0,7,0
1811,27.0,3,0,1298,85.8,5,17.5,4.45,7,1
1812,37.0,3,0,1197,80.0,5,18.5,2.65,10,1
1813,10.5,1,0,1198,77.0,5,25.32,4.7,5,1
1814,49.0,1,0,1582,126.2,5,18.23,8.9,8,0
1815,7.0,1,0,1956,170.0,5,17.1,17.45,5,1
1816,71.256,1,0,1248,88.5,5,24.3,9.58,5,1
1817,83.184,3,0,1798,138.03,5,14.28,6.22,10,1
1818,87.284,1,0,2179,140.0,7,15.1,7.8,9,1
1819,7.0,1,0,1995,190.0,5,20.68,27.75,6,0
1820,29.0,1,2,1396,88.73,5,22.54,7.0,7,1
1821,33.552,1,0,2987,254.79,5,11.57,64.87,5,0
1822,64.0,1,2,1998,163.7,5,17.3,6.5,9,1
1823,82.0,3,2,1197,80.0,5,18.5,2.7,11,1
1824,70.0,3,2,1198,86.8,5,19.4,2.5,10,1
1825,166.194,1,0,1461,84.8,7,19.3,3.9,9,1
1826,58.0,3,0,1198,73.9,5,16.47,3.95,7,1
1827,77.0,3,2,1197,78.9,5,20.36,2.1,12,1
1828,73.204,1,3,1991,147.9,4,18.1,3.5,13,0
1829,70.0,3,2,1086,68.05,5,19.81,2.0,15,1
1830,79.87,1,0,1248,88.76,7,20.77,5.35,8,1
1831,90.0,1,0,1498,98.6,5,25.8,3.8,9,1
1832,17.0,3,0,1595,122.0,5,15.5,17.25,6,0
1833,46.493,3,0,1197,81.86,5,18.9,5.53,4,1
1834,68.0,3,3,1197,78.9,5,20.36,1.95,13,1
1835,2.0,1,0,1248,74.0,5,28.4,8.2,5,1
1836,140.0,3,0,1343,90.0,5,13.0,0.9,23,1
1837,255.0,1,3,2494,100.6,7,12.99,6.5,9,1
1838,45.535,1,0,1998,112.0,5,23.8,19.41,8,0
1839,39.228,3,0,1368,112.4,5,15.7,6.58,6,1
1840,57.0,3,2,1399,92.7,5,14.49,2.1,11,1
1841,85.445,3,2,1086,68.05,5,19.81,2.0,14,1
1842,54.0,1,0,1120,71.0,5,24.4,3.7,7,1
1843,53.0,3,0,998,67.04,5,23.1,3.8,8,0
1844,60.0,3,0,1197,78.9,5,20.36,3.25,8,1
1845,65.668,1,0,1461,83.8,5,19.87,5.53,7,1
1846,100.0,1,2,1995,190.0,5,22.69,10.9,11,0
1847,1.8,3,0,1197,82.0,5,18.9,5.1,4,1
1849,44.2,3,2,995,62.0,5,18.0,1.6,13,1
1850,14.0,3,0,1497,117.3,5,17.4,11.25,4,1
1852,73.0,1,0,2982,169.0,7,11.5,14.4,10,0
1853,68.0,3,0,1497,118.0,5,17.0,3.6,11,1
1854,19.543,1,0,1995,190.0,5,18.12,40.5,5,0
1855,38.0,1,2,1968,174.3,5,14.16,38.95,8,0
1856,32.805,1,0,1248,73.94,5,23.2,3.6,8,1
1857,44.782,1,0,1498,103.2,5,21.21,7.12,6,0
1858,55.7,1,0,1498,98.6,5,26.0,7.52,6,1
1859,60.0,1,2,1968,140.8,5,15.2,10.35,10,0
1860,56.0,3,0,1598,103.52,5,15.0,7.0,8,1
1861,60.0,1,0,2982,171.0,7,11.5,10.85,11,1
1862,78.563,1,0,1991,123.7,5,16.52,2.35,12,1
1863,34.669,3,0,1196,73.0,7,15.1,2.9,8,1
1864,17.0,3,0,1373,91.1,5,20.73,7.65,5,1
1865,66.0,1,0,1248,88.5,5,28.09,6.4,6,1
1866,102.418,1,0,2494,100.6,7,12.99,10.1,8,1
1867,48.8,3,0,1197,85.8,5,19.1,4.25,8,1
1868,10.601,1,0,2755,171.5,7,11.36,19.65,3,0
1869,8.2,1,0,1396,69.0,5,25.0,4.4,5,1
1870,100.0,3,0,1197,82.85,5,18.5,3.25,10,1
1871,78.0,1,0,1399,68.0,5,17.8,2.8,10,1
1872,50.0,1,0,1248,73.74,8,18.2,4.3,7,1
1873,89.327,1,3,1399,68.0,5,17.8,1.55,16,1
1874,98.0,3,2,2354,152.0,5,10.8,4.7,15,1
1875,24.7,3,0,1199,88.7,5,18.7,7.07,5,1
1876,6.0,1,0,2987,258.0,7,11.0,79.0,4,0
1877,9.434,3,0,1197,81.86,5,18.9,5.75,4,1
1878,29.0,3,0,1197,85.8,5,18.5,3.25,10,1
1879,22.44,1,0,1498,108.495,5,22.0,8.89,5,0
1880,73.07,3,0,1497,117.3,5,17.4,5.9,7,1
1881,21.771,3,0,1199,88.7,5,18.7,4.95,6,1
1882,62.0,1,0,1248,75.0,5,17.8,3.75,8,1
1883,37.024,1,0,1582,126.2,5,17.01,10.97,5,0
1884,60.336,1,2,2967,241.4,5,14.4,24.94,8,0
1885,26.008,3,0,814,55.2,5,21.1,1.97,8,1
1886,90.0,1,2,1399,68.0,5,20.0,1.4,12,1
1887,35.569,3,0,1198,73.75,5,17.0,7.27,4,1
1888,40.0,1,0,1461,84.8,5,21.64,4.0,9,1
1889,45.0,3,0,1199,88.7,5,18.7,4.75,7,1
1890,42.0,3,0,1197,80.0,5,17.0,5.1,7,1
1891,46.913,1,0,2967,241.4,5,14.94,16.11,10,0
1892,62.0,1,0,2696,184.0,7,11.18,10.55,8,0
1893,15.0,1,0,2755,174.5,7,12.9,30.0,5,0
1894,69.0,1,0,1896,66.0,5,18.7,1.6,20,1
