,Name,Manufacturer,Location,km_Driven,Fuel_Type,Owner_Type,Engine CC,Power(bhp),Seats,Mileage Km/L,Price,Brand,No of Years,Transmission_Manual
1706,Volkswagen Passat Diesel Highline 2.0 TDI,Volkswagen,Hyderabad,81.65,Diesel,First,1968,167.7,5,18.33,7.5,Volkswagen,11,0
1707,Fiat Linea Emotion Pack (Diesel),Fiat,Chennai,160.0,Diesel,Second,1248,93.0,5,19.0,2.5,Fiat,12,1
1708,Mahindra Xylo D4,Mahindra,Hyderabad,169.0,Diesel,First,2489,93.7,7,14.95,5.0,Mahindra,7,1
1709,Maruti Wagon R VXI,Maruti,Hyderabad,67.263,Petrol,First,998,67.1,5,18.9,3.6,Maruti,9,1
1710,Toyota Etios G Safety,Toyota,Kochi,44.223,Petrol,First,1496,88.7,5,17.6,3.99,Toyota,10,1
1711,Hyundai Grand i10 Sportz,Hyundai,Coimbatore,36.84,Petrol,First,1197,82.0,5,18.9,5.64,Hyundai,7,1
1712,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Toyota,Pune,160.0,Diesel,First,2494,100.0,8,12.99,12.0,Toyota,8,1
1713,Tata Indica V2 DLS TC,Tata,Kolkata,133.0,Diesel,First,1405,62.0,5,16.8,0.7,Tata,14,1
1714,BMW 3 Series 320d Sport Line,BMW,Mumbai,69.123,Diesel,First,1995,184.0,5,18.88,19.0,BMW,7,0
1716,Maruti Ciaz Zeta,Maruti,Mumbai,5.5,Petrol,First,1462,103.25,5,21.56,8.2,Maruti,5,1
1717,Ford Figo 1.5D Titanium Plus MT,Ford,Kolkata,1.001,Diesel,First,1498,99.0,5,25.83,7.55,Ford,7,1
1718,Chevrolet Aveo U-VA 1.2 LS,Chevrolet,Pune,59.0,Petrol,Third,1150,74.9,5,15.26,0.99,Chevrolet,15,1
1719,Honda City 1.5 V AT,Honda,Delhi,78.256,Petrol,First,1497,118.0,5,16.8,4.15,Honda,11,0
1720,Nissan Sunny XL,Nissan,Chennai,90.0,Petrol,First,1498,97.6,5,16.95,6.2,Nissan,6,1
1721,Maruti Swift Dzire VXI,Maruti,Kolkata,18.0,Petrol,First,1197,85.8,5,19.1,4.4,Maruti,6,1
1722,Ford Figo Diesel Titanium,Ford,Kolkata,60.0,Diesel,First,1399,68.0,5,20.0,2.1,Ford,10,1
1723,Fiat Grande Punto 1.3 Emotion (Diesel),Fiat,Jaipur,130.0,Diesel,First,1248,75.0,5,20.3,2.2,Fiat,11,1
1724,Hyundai Elite i20 Petrol Asta,Hyundai,Coimbatore,32.851,Petrol,First,1197,81.86,5,18.6,8.34,Hyundai,4,1
1725,Maruti Swift Dzire VDI,Maruti,Kolkata,32.0,Diesel,First,1248,74.0,5,23.4,4.35,Maruti,8,1
1726,Ford Ecosport 1.5 DV5 MT Titanium,Ford,Hyderabad,62.7,Diesel,First,1498,89.84,5,22.7,6.8,Ford,8,1
1727,Maruti Swift Dzire VDi,Maruti,Jaipur,71.0,Diesel,First,1248,73.9,5,19.3,3.3,Maruti,12,1
1728,Hyundai Grand i10 Sportz,Hyundai,Kochi,19.947,Petrol,First,1197,82.0,5,18.9,5.04,Hyundai,6,1
1729,Ford Endeavour 3.0L 4X4 AT,Ford,Hyderabad,91.0,Diesel,First,2953,153.86,7,11.4,9.2,Ford,10,0
1730,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Hyderabad,74.0,Diesel,First,1199,73.9,5,22.07,5.7,Volkswagen,8,1
1731,Mahindra TUV 300 2015-2019 mHAWK100 T8,Mahindra,Kochi,55.594,Diesel,First,1493,100.0,7,18.49,8.48,Mahindra,4,1
1733,Renault Duster 110PS Diesel RxZ,Renault,Hyderabad,110.224,Diesel,First,1461,108.45,5,19.01,6.1,Renault,10,1
1734,Maruti Wagon R LXI,Maruti,Ahmedabad,21.002,Petrol,First,998,67.04,5,22.5,2.75,Maruti,12,1
1735,Maruti Ertiga SHVS VDI,Maruti,Pune,121.0,Diesel,First,1248,88.5,7,24.52,8.0,Maruti,5,1
1736,Maruti Alto LXi BSIII,Maruti,Jaipur,73.513,Petrol,First,796,46.3,5,19.7,1.85,Maruti,12,1
1737,Maruti Wagon R AMT VXI Option,Maruti,Jaipur,34.0,Petrol,First,998,67.0,5,20.51,3.85,Maruti,7,0
1738,Maruti Eeco 7 Seater Standard,Maruti,Coimbatore,28.371,Petrol,First,1196,73.0,7,15.1,4.74,Maruti,5,1
1739,Renault Duster 110PS Diesel RxL,Renault,Kochi,74.755,Diesel,First,1461,108.45,5,19.6,5.63,Renault,9,1
1740,Maruti Zen Estilo 1.1 LX BSIII,Maruti,Kochi,25.805,Petrol,First,1061,64.0,5,18.2,2.62,Maruti,11,1
1741,Renault Duster Petrol RxL,Renault,Kochi,82.603,Petrol,First,1598,102.53,5,13.06,4.9,Renault,7,1
1742,Honda Civic 2006-2010 1.8 S MT,Honda,Chennai,110.0,Petrol,First,1799,130.0,5,13.5,2.65,Honda,16,1
1743,Mahindra XUV500 W8 2WD,Mahindra,Delhi,88.0,Diesel,First,2179,140.0,7,16.0,5.99,Mahindra,10,1
1744,Mahindra Verito 1.5 D6 BSIV,Mahindra,Chennai,110.0,Diesel,Second,1461,64.1,5,21.0,2.4,Mahindra,11,1
1745,Renault KWID Climber 1.0 MT,Renault,Delhi,15.0,Petrol,First,999,67.0,5,21.7,4.25,Renault,5,1
1746,Porsche Cayenne Diesel,Porsche,Mumbai,70.0,Diesel,First,2967,240.0,5,15.15,40.0,Porsche,9,0
1747,Maruti Swift DDiS VDI,Maruti,Pune,150.0,Diesel,Second,1248,74.0,5,28.4,2.7,Maruti,14,1
1748,Datsun GO T Option,Datsun,Hyderabad,19.0,Petrol,First,1198,67.0,5,20.63,2.99,Datsun,6,1
1749,Hyundai i20 1.2 Magna,Hyundai,Chennai,37.442,Petrol,First,1197,80.0,5,18.5,3.4,Hyundai,11,1
1750,BMW 5 Series 2013-2017 520d Luxury Line,BMW,Coimbatore,63.111,Diesel,Second,1995,190.0,5,18.12,30.8,BMW,6,0
1751,Maruti Ertiga ZDI,Maruti,Mumbai,88.0,Diesel,First,1248,88.8,7,20.77,5.85,Maruti,10,1
1752,Hyundai Grand i10 Magna,Hyundai,Jaipur,42.355,Petrol,First,1197,82.0,5,18.9,4.0,Hyundai,8,1
1753,BMW 3 Series 330i,BMW,Coimbatore,75.871,Petrol,First,2996,254.0,5,9.43,14.12,BMW,11,0
1754,Chevrolet Cruze LTZ,Chevrolet,Mumbai,65.0,Diesel,First,1998,163.7,5,17.9,4.55,Chevrolet,11,1
1756,Maruti Ritz LDi,Maruti,Jaipur,79.232,Diesel,First,1248,73.9,5,21.1,2.9,Maruti,11,1
1757,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,MercedesBenz,Pune,220.0,Petrol,Second,1796,186.0,5,11.74,6.0,Mercedes-Benz,15,0
1758,Hyundai i20 1.2 Magna Executive,Hyundai,Kochi,28.47,Petrol,First,1197,81.83,5,18.6,6.95,Hyundai,6,1
1759,Hyundai EON 1.0 Kappa Magna Plus Optional,Hyundai,Kolkata,9.759,Petrol,First,998,68.05,5,20.3,2.75,Hyundai,8,1
1760,Maruti Swift VDI,Maruti,Pune,75.216,Diesel,First,1248,74.0,5,22.9,5.1,Maruti,8,1
1761,Hyundai i20 Sportz 1.2,Hyundai,Chennai,8.0,Petrol,First,1197,81.83,5,18.6,6.75,Hyundai,5,1
1762,Maruti Ritz ZXi,Maruti,Mumbai,59.451,Petrol,First,1197,85.8,5,18.5,3.69,Maruti,8,1
1763,Maruti Swift VDI,Maruti,Hyderabad,53.996,Diesel,First,1248,74.0,5,22.9,5.45,Maruti,9,1
1764,Honda WRV i-VTEC VX,Honda,Kochi,15.135,Petrol,First,1199,88.7,5,17.5,9.29,Honda,4,1
1765,Hyundai Xcent 1.2 Kappa AT S Option,Hyundai,Chennai,53.0,Petrol,Second,1197,81.86,5,16.9,4.0,Hyundai,7,0
1766,Honda Amaze E i-Vtech,Honda,Kolkata,40.0,Petrol,First,1198,86.7,5,18.0,2.9,Honda,9,1
1767,Hyundai Verna 1.6 SX VTVT (O),Hyundai,Pune,21.107,Petrol,First,1591,121.3,5,17.1,5.25,Hyundai,9,1
1768,Honda City V MT,Honda,Mumbai,56.0,Petrol,First,1497,116.3,5,16.8,5.75,Honda,8,1
1769,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Hyundai,Coimbatore,19.623,Petrol,First,1591,121.3,5,15.29,13.12,Hyundai,5,1
1770,Mahindra XUV500 W8 2WD,Mahindra,Kochi,70.963,Diesel,First,2179,140.0,7,15.1,7.83,Mahindra,8,1
1771,Maruti Wagon R LXI CNG,Maruti,Mumbai,25.755,CNG,First,998,58.16,5,26.6,3.15,Maruti,9,1
1772,Toyota Innova 2.5 V Diesel 7-seater,Toyota,Mumbai,51.45,Diesel,First,2494,102.0,7,12.8,10.4,Toyota,9,1
1773,Maruti Swift VDI,Maruti,Pune,75.0,Diesel,First,1248,74.0,5,22.9,4.35,Maruti,10,1
1774,Maruti Wagon R VXI AMT,Maruti,Coimbatore,37.832,Petrol,First,998,67.0,5,22.5,5.23,Maruti,5,0
1775,Hyundai Grand i10 1.2 Kappa Asta,Hyundai,Coimbatore,43.041,Petrol,First,1197,81.86,5,18.9,6.01,Hyundai,6,1
1776,Honda Amaze VX i-DTEC,Honda,Hyderabad,97.236,Diesel,First,1498,98.6,5,25.8,4.4,Honda,8,1
1777,BMW 3 Series 320d Highline,BMW,Chennai,83.0,Diesel,First,1995,181.0,5,16.07,12.75,BMW,12,0
1778,Ford Figo Petrol Titanium,Ford,Delhi,65.0,Petrol,First,1196,70.0,5,15.6,2.4,Ford,11,1
1779,Volkswagen Ameo 1.2 MPI Trendline,Volkswagen,Kochi,46.007,Petrol,First,1198,73.75,5,17.0,5.71,Volkswagen,4,1
1780,Ford Ecosport 1.5 DV5 MT Trend,Ford,Kochi,65.925,Diesel,Second,1498,89.84,5,22.7,5.49,Ford,7,1
1781,Honda City 1.3 EXI,Honda,Pune,73.5,Petrol,Second,1343,90.0,5,13.0,1.3,Honda,18,1
1782,Mahindra XUV500 W6 2WD,Mahindra,Kolkata,55.0,Diesel,First,2179,140.0,7,16.0,8.5,Mahindra,8,1
1783,Toyota Fortuner 4x2 Manual,Toyota,Delhi,115.0,Diesel,First,2982,168.5,7,13.0,12.99,Toyota,10,1
1784,Hyundai Grand i10 1.2 Kappa Magna,Hyundai,Kolkata,31.184,Petrol,First,1197,81.86,5,18.9,5.0,Hyundai,5,1
1785,Maruti Dzire AMT ZDI Plus,Maruti,Pune,41.747,Diesel,First,1248,73.75,5,28.4,9.0,Maruti,5,0
1786,Maruti Swift VDI,Maruti,Kochi,38.143,Diesel,First,1248,74.0,5,22.9,5.22,Maruti,6,1
1787,Volkswagen Polo Petrol Highline 1.2L,Volkswagen,Pune,19.03,Petrol,First,1198,73.9,5,16.47,3.8,Volkswagen,10,1
1788,Toyota Etios Liva 1.2 VX Dual Tone,Toyota,Coimbatore,20.877,Petrol,First,1197,78.9,5,18.16,7.27,Toyota,3,1
1789,Maruti Swift VXI,Maruti,Mumbai,23.555,Petrol,First,1197,81.8,5,22.0,5.1,Maruti,6,1
1790,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,MercedesBenz,Bangalore,29.0,Diesel,First,2143,203.0,5,14.21,29.0,Mercedes-Benz,9,0
1791,Maruti Wagon R VXI,Maruti,Pune,61.0,Petrol,First,998,67.1,5,18.9,2.9,Maruti,9,1
1792,Tata Nano Lx BSIV,Tata,Kochi,4.187,Petrol,First,624,35.0,4,26.0,1.38,Tata,10,1
1793,Skoda Laura 1.8 TSI Ambiente,Skoda,Bangalore,46.0,Petrol,First,1798,157.8,5,13.4,5.5,Skoda,11,1
1794,Volkswagen Polo GT TSI,Volkswagen,Mumbai,28.0,Petrol,First,1197,103.5,5,17.21,7.25,Volkswagen,6,0
1795,Hyundai Verna 1.6 SX,Hyundai,Coimbatore,83.558,Diesel,First,1582,126.32,5,22.32,6.98,Hyundai,8,1
1796,Tata Bolt Quadrajet XE,Tata,Hyderabad,40.0,Diesel,First,1248,74.0,5,22.95,5.25,Tata,5,1
1797,Hyundai EON D Lite Plus,Hyundai,Kolkata,36.0,Petrol,First,814,55.2,5,21.1,1.95,Hyundai,9,1
1798,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Bangalore,21.0,Diesel,First,1968,174.33,5,17.11,24.5,Audi,8,0
1799,Toyota Innova 2.5 GX (Diesel) 7 Seater,Toyota,Kochi,62.162,Diesel,First,2494,100.0,7,12.99,8.31,Toyota,9,1
1800,Mercedes-Benz M-Class ML 350 CDI,MercedesBenz,Hyderabad,83.0,Diesel,First,2987,254.8,5,11.74,36.0,Mercedes-Benz,10,0
1801,Hyundai Xcent 1.1 CRDi S,Hyundai,Pune,58.0,Diesel,First,1120,71.0,5,24.4,5.5,Hyundai,7,1
1802,Honda Accord 2.4 AT,Honda,Kochi,62.332,Petrol,First,2354,177.6,5,11.7,5.89,Honda,11,0
1803,Volkswagen Vento 1.5 TDI Highline,Volkswagen,Kochi,50.867,Diesel,First,1498,103.2,5,20.34,7.95,Volkswagen,6,1
1804,Hyundai i20 Sportz Petrol,Hyundai,Mumbai,73.0,Petrol,First,1197,80.0,5,17.0,2.75,Hyundai,12,1
1805,Hyundai Elantra CRDi SX,Hyundai,Jaipur,98.008,Diesel,First,1582,126.24,5,22.7,6.25,Hyundai,10,1
1806,Ford Figo Diesel Titanium,Ford,Hyderabad,36.0,Diesel,First,1399,68.05,5,20.0,4.95,Ford,7,1
1807,Hyundai i20 1.2 Magna Executive,Hyundai,Kochi,27.339,Petrol,First,1197,81.83,5,18.6,6.27,Hyundai,3,1
1808,Hyundai Verna 1.6 CRDi SX,Hyundai,Kolkata,25.0,Diesel,First,1582,126.2,5,23.9,8.65,Hyundai,5,1
1809,Hyundai Grand i10 Asta,Hyundai,Kolkata,37.0,Petrol,First,1197,82.0,5,18.9,3.5,Hyundai,8,1
1810,Audi Q5 2.0 TDI,Audi,Hyderabad,56.0,Diesel,First,1968,174.3,5,14.16,35.0,Audi,7,0
1811,Maruti Swift Dzire ZXi,Maruti,Kolkata,27.0,Petrol,First,1298,85.8,5,17.5,4.45,Maruti,7,1
1812,Hyundai i20 Magna,Hyundai,Kolkata,37.0,Petrol,First,1197,80.0,5,18.5,2.65,Hyundai,10,1
1813,Mahindra KUV 100 mFALCON D75 K4 Plus 5str,Mahindra,Kolkata,10.5,Diesel,First,1198,77.0,5,25.32,4.7,Mahindra,5,1
1814,Hyundai Elantra 1.6 SX Option AT,Hyundai,Ahmedabad,49.0,Diesel,First,1582,126.2,5,18.23,8.9,Hyundai,8,0
1815,Jeep Compass 2.0 Limited Option Black,Jeep,Mumbai,7.0,Diesel,First,1956,170.0,5,17.1,17.45,Jeep,5,1
1816,Maruti Vitara Brezza VDi Option,Maruti,Coimbatore,71.256,Diesel,First,1248,88.5,5,24.3,9.58,Maruti,5,1
1817,Toyota Corolla Altis 1.8 GL,Toyota,Kochi,83.184,Petrol,First,1798,138.03,5,14.28,6.22,Toyota,10,1
1818,Mahindra XUV500 W8 2WD,Mahindra,Kolkata,87.284,Diesel,First,2179,140.0,7,15.1,7.8,Mahindra,9,1
1819,BMW X1 xDrive 20d xLine,BMW,Mumbai,7.0,Diesel,First,1995,190.0,5,20.68,27.75,BMW,6,0
1820,Hyundai i20 Magna 1.4 CRDi,Hyundai,Pune,29.0,Diesel,Second,1396,88.73,5,22.54,7.0,Hyundai,7,1
1821,Mercedes-Benz GLE 350d,MercedesBenz,Coimbatore,33.552,Diesel,First,2987,254.79,5,11.57,64.87,Mercedes-Benz,5,0
1822,Chevrolet Cruze LTZ,Chevrolet,Bangalore,64.0,Diesel,Second,1998,163.7,5,17.3,6.5,Chevrolet,9,1
1823,Hyundai i20 1.2 Magna,Hyundai,Jaipur,82.0,Petrol,Second,1197,80.0,5,18.5,2.7,Hyundai,11,1
1824,Honda Brio S MT,Honda,Mumbai,70.0,Petrol,Second,1198,86.8,5,19.4,2.5,Honda,10,1
1825,Nissan Evalia 2013 XL,Nissan,Hyderabad,166.194,Diesel,First,1461,84.8,7,19.3,3.9,Nissan,9,1
1826,Volkswagen Polo Petrol Trendline 1.2L,Volkswagen,Delhi,58.0,Petrol,First,1198,73.9,5,16.47,3.95,Volkswagen,7,1
1827,Hyundai i10 Sportz 1.2,Hyundai,Chennai,77.0,Petrol,Second,1197,78.9,5,20.36,2.1,Hyundai,12,1
1828,Chevrolet Cruze LTZ AT,Chevrolet,Pune,73.204,Diesel,Third,1991,147.9,4,18.1,3.5,Chevrolet,13,0
1829,Hyundai i10 Era,Hyundai,Hyderabad,70.0,Petrol,Second,1086,68.05,5,19.81,2.0,Hyundai,15,1
1830,Maruti Ertiga VDI,Maruti,Delhi,79.87,Diesel,First,1248,88.76,7,20.77,5.35,Maruti,8,1
1831,Honda Amaze S i-Dtech,Honda,Delhi,90.0,Diesel,First,1498,98.6,5,25.8,3.8,Honda,9,1
1832,Mercedes-Benz A Class A180 Sport,MercedesBenz,Mumbai,17.0,Petrol,First,1595,122.0,5,15.5,17.25,Mercedes-Benz,6,0
1833,Hyundai Grand i10 1.2 Kappa Magna,Hyundai,Kochi,46.493,Petrol,First,1197,81.86,5,18.9,5.53,Hyundai,4,1
1834,Hyundai i10 Sportz 1.2,Hyundai,Pune,68.0,Petrol,Third,1197,78.9,5,20.36,1.95,Hyundai,13,1
1835,Maruti Swift DDiS ZDI Plus,Maruti,Hyderabad,2.0,Diesel,First,1248,74.0,5,28.4,8.2,Maruti,5,1
1836,Honda City 1.3 EXI,Honda,Pune,140.0,Petrol,First,1343,90.0,5,13.0,0.9,Honda,23,1
1837,Toyota Innova 2.5 GX (Diesel) 7 Seater,Toyota,Pune,255.0,Diesel,Third,2494,100.6,7,12.99,6.5,Toyota,9,1
1838,Mini Cooper Countryman D High,Mini,Coimbatore,45.535,Diesel,First,1998,112.0,5,23.8,19.41,Mini,8,0
1839,Fiat Linea T-Jet Active,Fiat,Coimbatore,39.228,Petrol,First,1368,112.4,5,15.7,6.58,Fiat,6,1
1840,Chevrolet Aveo 1.4 LT,Chevrolet,Mumbai,57.0,Petrol,Second,1399,92.7,5,14.49,2.1,Chevrolet,11,1
1841,Hyundai i10 Era 1.1,Hyundai,Chennai,85.445,Petrol,Second,1086,68.05,5,19.81,2.0,Hyundai,14,1
1842,Hyundai Xcent 1.1 CRDi Base,Hyundai,Delhi,54.0,Diesel,First,1120,71.0,5,24.4,3.7,Hyundai,7,1
1843,Maruti Celerio VXI AT,Maruti,Mumbai,53.0,Petrol,First,998,67.04,5,23.1,3.8,Maruti,8,0
1844,Hyundai i10 Sportz,Hyundai,Jaipur,60.0,Petrol,First,1197,78.9,5,20.36,3.25,Hyundai,8,1
1845,Renault Duster 85PS Diesel RxL,Renault,Coimbatore,65.668,Diesel,First,1461,83.8,5,19.87,5.53,Renault,7,1
1846,BMW 3 Series 320d,BMW,Ahmedabad,100.0,Diesel,Second,1995,190.0,5,22.69,10.9,BMW,11,0
1847,Hyundai Grand i10 Sportz,Hyundai,Kolkata,1.8,Petrol,First,1197,82.0,5,18.9,5.1,Hyundai,4,1
1849,Chevrolet Spark 1.0 LS,Chevrolet,Pune,44.2,Petrol,Second,995,62.0,5,18.0,1.6,Chevrolet,13,1
1850,Honda City i VTEC VX Option,Honda,Ahmedabad,14.0,Petrol,First,1497,117.3,5,17.4,11.25,Honda,4,1
1852,Toyota Fortuner 4x2 4 Speed AT,Toyota,Delhi,73.0,Diesel,First,2982,169.0,7,11.5,14.4,Toyota,10,0
1853,Honda City 1.5 S MT,Honda,Delhi,68.0,Petrol,First,1497,118.0,5,17.0,3.6,Honda,11,1
1854,BMW 5 Series 2013-2017 520d Luxury Line,BMW,Jaipur,19.543,Diesel,First,1995,190.0,5,18.12,40.5,BMW,5,0
1855,Audi Q5 30 TDI quattro Premium Plus,Audi,Bangalore,38.0,Diesel,Second,1968,174.3,5,14.16,38.95,Audi,8,0
1856,Maruti Ritz LDi,Maruti,Delhi,32.805,Diesel,First,1248,73.94,5,23.2,3.6,Maruti,8,1
1857,Volkswagen Vento 1.5 TDI Highline AT,Volkswagen,Kochi,44.782,Diesel,First,1498,103.2,5,21.21,7.12,Volkswagen,6,0
1858,Honda City i DTEC SV,Honda,Kochi,55.7,Diesel,First,1498,98.6,5,26.0,7.52,Honda,6,1
1859,Audi A4 New 2.0 TDI Multitronic,Audi,Delhi,60.0,Diesel,Second,1968,140.8,5,15.2,10.35,Audi,10,0
1860,Skoda Rapid 1.6 MPI Elegance,Skoda,Hyderabad,56.0,Petrol,First,1598,103.52,5,15.0,7.0,Skoda,8,1
1861,Toyota Fortuner 3.0 Diesel,Toyota,Delhi,60.0,Diesel,First,2982,171.0,7,11.5,10.85,Toyota,11,1
1862,Chevrolet Optra Magnum 2.0 LT BS3,Chevrolet,Mumbai,78.563,Diesel,First,1991,123.7,5,16.52,2.35,Chevrolet,12,1
1863,Maruti Eeco 7 Seater Standard,Maruti,Mumbai,34.669,Petrol,First,1196,73.0,7,15.1,2.9,Maruti,8,1
1864,Maruti Ciaz ZXi,Maruti,Delhi,17.0,Petrol,First,1373,91.1,5,20.73,7.65,Maruti,5,1
1865,Maruti Ciaz VDi Plus SHVS,Maruti,Delhi,66.0,Diesel,First,1248,88.5,5,28.09,6.4,Maruti,6,1
1866,Toyota Innova 2.5 LE 2014 Diesel 7 Seater,Toyota,Pune,102.418,Diesel,First,2494,100.6,7,12.99,10.1,Toyota,8,1
1867,Maruti Swift Dzire VXI,Maruti,Kolkata,48.8,Petrol,First,1197,85.8,5,19.1,4.25,Maruti,8,1
1868,Toyota Innova Crysta 2.8 GX AT,Toyota,Kochi,10.601,Diesel,First,2755,171.5,7,11.36,19.65,Toyota,3,0
1869,Tata Indica V2 eLX,Tata,Pune,8.2,Diesel,First,1396,69.0,5,25.0,4.4,Tata,5,1
1870,Hyundai i20 Magna,Hyundai,Jaipur,100.0,Petrol,First,1197,82.85,5,18.5,3.25,Hyundai,10,1
1871,Ford Fiesta 1.4 Duratorq ZXI,Ford,Pune,78.0,Diesel,First,1399,68.0,5,17.8,2.8,Ford,10,1
1872,Chevrolet Enjoy 1.3 TCDi LS 8,Chevrolet,Kolkata,50.0,Diesel,First,1248,73.74,8,18.2,4.3,Chevrolet,7,1
1873,Ford Fiesta 1.4 Duratorq EXI,Ford,Chennai,89.327,Diesel,Third,1399,68.0,5,17.8,1.55,Ford,16,1
1874,Honda CR-V 2.4 MT,Honda,Chennai,98.0,Petrol,Second,2354,152.0,5,10.8,4.7,Honda,15,1
1875,Honda Jazz 1.2 VX i VTEC,Honda,Kochi,24.7,Petrol,First,1199,88.7,5,18.7,7.07,Honda,5,1
1876,Mercedes-Benz GLS 350d Grand Edition,MercedesBenz,Delhi,6.0,Diesel,First,2987,258.0,7,11.0,79.0,Mercedes-Benz,4,0
1877,Hyundai Grand i10 1.2 Kappa Sportz,Hyundai,Delhi,9.434,Petrol,First,1197,81.86,5,18.9,5.75,Hyundai,4,1
1878,Maruti Ritz VXi,Maruti,Mumbai,29.0,Petrol,First,1197,85.8,5,18.5,3.25,Maruti,10,1
1879,Volkswagen Ameo 1.5 TDI Highline AT,Volkswagen,Coimbatore,22.44,Diesel,First,1498,108.495,5,22.0,8.89,Volkswagen,5,0
1880,Honda City i VTEC SV,Honda,Mumbai,73.07,Petrol,First,1497,117.3,5,17.4,5.9,Honda,7,1
1881,Honda Jazz 1.2 S i VTEC,Honda,Kolkata,21.771,Petrol,First,1199,88.7,5,18.7,4.95,Honda,6,1
1882,Maruti Swift Ldi BSIV,Maruti,Delhi,62.0,Diesel,First,1248,75.0,5,17.8,3.75,Maruti,8,1
1883,Hyundai Creta 1.6 CRDi AT SX Plus,Hyundai,Kochi,37.024,Diesel,First,1582,126.2,5,17.01,10.97,Hyundai,5,0
1884,Audi A7 2011-2015 3.0 TDI Quattro,Audi,Kochi,60.336,Diesel,Second,2967,241.4,5,14.4,24.94,Audi,8,0
1885,Hyundai EON D Lite Plus,Hyundai,Kolkata,26.008,Petrol,First,814,55.2,5,21.1,1.97,Hyundai,8,1
1886,Ford Figo Diesel EXI,Ford,Jaipur,90.0,Diesel,Second,1399,68.0,5,20.0,1.4,Ford,12,1
1887,Volkswagen Ameo 1.2 MPI Highline,Volkswagen,Coimbatore,35.569,Petrol,First,1198,73.75,5,17.0,7.27,Volkswagen,4,1
1888,Renault Scala Diesel RxL,Renault,Kolkata,40.0,Diesel,First,1461,84.8,5,21.64,4.0,Renault,9,1
1889,Honda Jazz 1.2 V i VTEC,Honda,Kolkata,45.0,Petrol,First,1199,88.7,5,18.7,4.75,Honda,7,1
1890,Hyundai i20 1.2 Sportz,Hyundai,Delhi,42.0,Petrol,First,1197,80.0,5,17.0,5.1,Hyundai,7,1
1891,Audi A4 3.0 TDI Quattro Premium,Audi,Coimbatore,46.913,Diesel,First,2967,241.4,5,14.94,16.11,Audi,10,0
1892,Mahindra Ssangyong Rexton RX7,Mahindra,Delhi,62.0,Diesel,First,2696,184.0,7,11.18,10.55,Mahindra,8,0
1893,Toyota Fortuner 2.8 2WD AT,Toyota,Ahmedabad,15.0,Diesel,First,2755,174.5,7,12.9,30.0,Toyota,5,0
1894,Skoda Octavia Classic 1.9 TDI MT,Skoda,Kolkata,69.0,Diesel,First,1896,66.0,5,18.7,1.6,Skoda,20,1
1895,Mercedes-Benz New C-Class 250 CDI Classic,MercedesBenz,Hyderabad,41.367,Diesel,First,2148,170.0,5,15.8,18.49,Mercedes-Benz,10,0
1896,Maruti Ciaz 1.4 Zeta,Maruti,Kochi,15.982,Petrol,First,1373,91.1,5,20.73,9.96,Maruti,4,1
1897,Maruti Swift ZDi,Maruti,Hyderabad,99.595,Diesel,Second,1248,74.0,5,22.9,4.75,Maruti,9,1
1898,Toyota Qualis FS B3,Toyota,Bangalore,63.0,Diesel,Third,2446,75.0,10,13.1,3.65,Toyota,20,1
1899,BMW 5 Series 2007-2010 525d Sedan,BMW,Delhi,49.0,Diesel,Second,2495,218.0,5,16.73,15.5,BMW,10,0
1900,Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,Mitsubishi,Kochi,48.272,Diesel,First,2835,116.9,6,10.5,11.82,Mitsubishi,9,1
1901,Toyota Corolla H2,Toyota,Delhi,63.0,Petrol,First,1794,125.0,5,13.4,2.05,Toyota,14,1
1902,Maruti Wagon R LXI CNG,Maruti,Ahmedabad,77.0,CNG,First,998,58.16,5,26.6,3.3,Maruti,6,1
1903,Maruti Omni E MPI STD BS IV,Maruti,Mumbai,11.734,Petrol,First,796,34.2,8,16.8,2.25,Maruti,9,1
1904,Audi A6 2011-2015 2.0 TDI,Audi,Kochi,62.012,Diesel,First,1968,174.33,5,17.68,20.12,Audi,8,0
1905,Hyundai Xcent 1.2 Kappa S Option CNG,Hyundai,Chennai,46.0,CNG,First,1197,81.86,5,25.0,4.95,Hyundai,5,1
1906,Honda Jazz 1.5 S i DTEC,Honda,Coimbatore,45.449,Diesel,First,1498,98.6,5,27.3,7.48,Honda,6,1
1907,Mercedes-Benz E-Class 200 Kompressor Elegance,MercedesBenz,Mumbai,85.0,Petrol,Second,1796,157.7,5,10.5,5.5,Mercedes-Benz,18,0
1908,Audi A4 2.0 TDI,Audi,Kochi,45.33,Diesel,First,1968,147.51,5,16.55,13.19,Audi,9,0
1909,Maruti Swift Dzire VXI,Maruti,Mumbai,88.0,Petrol,First,1197,85.8,5,19.1,3.85,Maruti,10,1
1910,Maruti Dzire VDI,Maruti,Delhi,45.376,Diesel,First,1248,73.75,5,28.4,5.75,Maruti,6,1
